system_qubits,bath_qubits,J,h,num_sweeps,p,training_method,single_qubit_gate_noise,two_qubit_gate_noise,initial_state,ground_state_energy,bond_dim,energy,energy_diff,energy_std,truncation_error,combined_std,energy_density_atol,energy_atol,total_time_minutes
8,4,0.4,0.6,0,3,energy,0.0007000000000000001,0.007000000000000001,zeros,-5.276561938925672,32,-2.8389078498293516,2.4376540890963208,0.03503702447138618,inf,inf,0.01,0.08,0.011246021588643391
8,4,0.4,0.6,0,3,energy,0.0007000000000000001,0.007000000000000001,zeros,-5.276561938925672,64,-2.7882252559726957,2.4883366829529767,0.03505005356700176,0.03505005356700176,0.04956826111635737,0.01,0.08,0.011246021588643391
4,2,0.4,0.6,8,3,energy,0.0002,0.002,zeros,-2.6015566228505627,32,-2.445074285714286,0.15648233713627668,0.01321793471321442,inf,inf,0.01,0.04,1.3185545365015665
4,2,0.4,0.6,8,3,energy,0.0002,0.002,zeros,-2.6015566228505627,64,-2.4378514285714283,0.16370519427913433,0.013306881455953488,0.013306881455953488,0.01881877222790046,0.01,0.04,1.3185545365015665
8,4,0.4,0.6,0,3,energy,0.0002,0.002,zeros,-5.276561938925708,32,-2.8194539249146757,2.457108014011032,0.0350386328304916,inf,inf,0.01,0.08,0.012145451704661052
8,4,0.4,0.6,0,3,energy,0.0002,0.002,zeros,-5.276561938925708,64,-2.837372013651877,2.4391899252738307,0.035043631356320236,0.035043631356320236,0.049559178738911136,0.01,0.08,0.012145451704661052
4,2,0.4,0.6,4,3,energy,0.0,0.0,zeros,-2.6015566228505667,32,-2.364525714285714,0.23703090856485254,0.013713057277227172,inf,inf,0.01,0.04,0.6504500508308411
4,2,0.4,0.6,4,3,energy,0.0,0.0,zeros,-2.6015566228505667,64,-2.3809828571428575,0.22057376570770915,0.01360813148065776,0.013713057277227172,0.019319140309117844,0.01,0.04,0.6504500508308411
4,2,0.4,0.6,5,3,energy,0.0001,0.001,zeros,-2.6015566228505653,32,-2.4104228571428568,0.19113376570770857,0.013494755484380106,inf,inf,0.01,0.04,0.8136026342709859
4,2,0.4,0.6,5,3,energy,0.0001,0.001,zeros,-2.6015566228505653,64,-2.3871085714285716,0.21444805142199375,0.013624350984524155,0.013624350984524155,0.019267741940845292,0.01,0.04,0.8136026342709859
